card_id,customer_id,card_number,card_type,expiration_date,cvv,issue_date,status,last_used_date
1,1,4532XXXXXXXX1234,Credit,2025-12-31,123,2024-10-01,Active,2024-12-15
2,2,4532XXXXXXXX5678,Debit,2025-12-31,456,2024-11-15,Active,2024-12-15
3,3,4532XXXXXXXX9012,Credit,2025-12-31,789,2024-12-01,Active,2024-12-15
4,4,4532XXXXXXXX3456,Credit,2025-12-31,012,2024-12-12,Active,2024-12-15
5,5,4532XXXXXXXX7890,Debit,2025-12-31,345,2024-10-25,Active,2024-12-15
6,6,4532XXXXXXXX2345,Credit,2025-12-31,678,2024-11-18,Active,2024-12-15
7,7,4532XXXXXXXX6789,Debit,2025-12-31,901,2024-12-01,Active,2024-12-15
8,8,4532XXXXXXXX0123,Credit,2025-12-31,234,2024-11-01,Active,2024-12-15
9,9,4532XXXXXXXX4567,Debit,2025-12-31,567,2024-12-22,Active,2024-12-15
10,10,4532XXXXXXXX8901,Credit,2025-12-31,890,2024-10-10,Active,2024-12-15
